founder_name,first_name,last_name,tjhsst_graduation_year,tjhsst_year_confidence,tjhsst_evidence,tjhsst_source_url,company_name,company_website,founder_role,founding_year,company_status,industry,subindustry,company_description,headquarters,venture_backed,total_funding,latest_known_round,notable_investors,accelerator,acquisition_or_exit,acquirer,exit_year,current_founder_role,founder_linkedin,founder_personal_website,company_linkedin,founder_evidence,founder_source_url,additional_sources,discovery_method,discovered_via,discovery_source_url,confidence_score,notes,universities_attended
Brian Tubergen,Brian,Tubergen,2009,Confirmed,An FCPS/TJ alumni newsletter identifies Tubergen as TJHSST Class of 2009.,https://content.govdelivery.com/accounts/VAEDUFCPS/bulletins/2b3f060,CoinList,https://coinlist.co/,Co-founder,2017,Active,Fintech,Digital-asset platform,"Platform for token launches, trading and services for digital assets.","San Francisco, CA",Yes,At least $109.2M publicly announced,"Series A ($100M, 2021)",Accomplice; Agman Partners; Digital Currency Group; others,Unknown,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Princeton entrepreneurship materials identify Tubergen as CoinList co-founder.,https://entrepreneurs.princeton.edu/sites/g/files/toruqf151/files/2019-11/nyctec19_program-final.pdf,Unknown,TJ/FCPS alumni publication,FCPS alumni newsletter,https://content.govdelivery.com/accounts/VAEDUFCPS/bulletins/2b3f060,5,Unknown,Princeton University
Daniel Shin,Daniel,Shin,2004,Confirmed,Public biographies and school alumni references identify Shin as a 2004 TJHSST graduate.,https://en.wikipedia.org/wiki/Daniel_Shin,Invite Media,Unknown,Co-founder,2007,Acquired,Media,Demand-side advertising,Demand-side advertising platform acquired by Google.,"New York, NY",Yes,Unknown,Venture financing,First Round Capital; Comcast Ventures; others,Unknown,Acquired,Google,2010,Former founder,Unknown,Unknown,Unknown,Wharton and company histories identify Shin as founder/co-founder.,https://magazine.wharton.upenn.edu/daniel-shin-c08-w08/,https://en.wikipedia.org/wiki/Daniel_Shin,Historical-company search,TJHSST alumni biography,https://magazine.wharton.upenn.edu/daniel-shin-c08-w08/,4,Unknown,University of Pennsylvania
Daniel Shin,Daniel,Shin,2004,Confirmed,Public biographies and school alumni references identify Shin as a 2004 TJHSST graduate.,https://en.wikipedia.org/wiki/Daniel_Shin,Ticket Monster,Unknown,Co-founder,2010,Acquired,E-commerce,Daily deals,South Korean daily-deals and e-commerce company.,"Seoul, South Korea",Yes,At least $115M publicly announced,Private financing,Kohlberg Kravis Roberts; Canada Pension Plan Investment Board; others,Unknown,Acquired for a reported $260M,Groupon,2014,Former founder,Unknown,Unknown,Unknown,Wharton and company histories identify Shin as founder/co-founder.,https://magazine.wharton.upenn.edu/daniel-shin-c08-w08/,https://en.wikipedia.org/wiki/Daniel_Shin,Historical-company search,TJHSST alumni biography,https://magazine.wharton.upenn.edu/daniel-shin-c08-w08/,4,Unknown,University of Pennsylvania
Daniel Shin,Daniel,Shin,2004,Confirmed,Public biographies and school alumni references identify Shin as a 2004 TJHSST graduate.,https://en.wikipedia.org/wiki/Daniel_Shin,Fast Track Asia,Unknown,Co-founder,2012,Active,Venture Capital,Startup studio,Asian startup studio and company builder.,"Seoul, South Korea",Yes,Unknown,Unknown,Unknown,Unknown,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Wharton and company histories identify Shin as founder/co-founder.,https://magazine.wharton.upenn.edu/daniel-shin-c08-w08/,https://en.wikipedia.org/wiki/Daniel_Shin,Historical-company search,TJHSST alumni biography,https://magazine.wharton.upenn.edu/daniel-shin-c08-w08/,4,Unknown,University of Pennsylvania
Daniel Shin,Daniel,Shin,2004,Confirmed,Public biographies and school alumni references identify Shin as a 2004 TJHSST graduate.,https://en.wikipedia.org/wiki/Daniel_Shin,Bass Investment,Unknown,Co-founder,2018,Active,Venture Capital,Investment firm,Technology-focused investment firm founded by Daniel Shin.,"Seoul, South Korea",Unknown,Unknown,Unknown,Unknown,Unknown,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Wharton and company histories identify Shin as founder/co-founder.,https://magazine.wharton.upenn.edu/daniel-shin-c08-w08/,https://en.wikipedia.org/wiki/Daniel_Shin,Historical-company search,TJHSST alumni biography,https://magazine.wharton.upenn.edu/daniel-shin-c08-w08/,4,Unknown,University of Pennsylvania
Daniel Shin,Daniel,Shin,2004,Confirmed,Public biographies and school alumni references identify Shin as a 2004 TJHSST graduate.,https://en.wikipedia.org/wiki/Daniel_Shin,Terraform Labs,Unknown,Co-founder,2018,Closed,Fintech,Blockchain,Blockchain company behind the Terra ecosystem.,Singapore,Yes,Unknown,Private financing,Arrington XRP; Galaxy Digital; Pantera; others,Unknown,Bankruptcy / operations wound down,Unknown,2024,Former founder,Unknown,Unknown,Unknown,Wharton and company histories identify Shin as founder/co-founder.,https://magazine.wharton.upenn.edu/daniel-shin-c08-w08/,https://en.wikipedia.org/wiki/Daniel_Shin,Historical-company search,TJHSST alumni biography,https://magazine.wharton.upenn.edu/daniel-shin-c08-w08/,4,Unknown,University of Pennsylvania
Daniel Shin,Daniel,Shin,2004,Confirmed,Public biographies and school alumni references identify Shin as a 2004 TJHSST graduate.,https://en.wikipedia.org/wiki/Daniel_Shin,PortOne Global (formerly CHAI),https://portone.io/,Co-founder,2018,Active,Fintech,Payments infrastructure,Payments orchestration platform that originated as CHAI.,"Seoul, South Korea",Yes,Unknown,Private financing,Han River Partners; others,Unknown,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Wharton and company histories identify Shin as founder/co-founder.,https://magazine.wharton.upenn.edu/daniel-shin-c08-w08/,https://en.wikipedia.org/wiki/Daniel_Shin,Historical-company search,TJHSST alumni biography,https://magazine.wharton.upenn.edu/daniel-shin-c08-w08/,4,Unknown,University of Pennsylvania
Bryan Guido Hassin,Bryan Guido,Hassin,1997,Confirmed,Hassin’s own alumni essay states that he is TJ Class of 1997.,https://greenknig.ht/2025/10/06/from-tj-alumni-to-climatetech-ceo-my-journey-on-the-alumni-blast-from-the-past-podcast/,Third Derivative,https://third-derivative.org/,Co-founder and CEO,2020,Active,Climate,Climate-tech accelerator,Global climate-technology accelerator and ecosystem.,"Boulder, CO",No,Unknown,Philanthropic / program funding,RMI; New Energy Nexus; others,Unknown,None known,Unknown,Unknown,Unknown,Unknown,https://greenknig.ht/,Unknown,Rice biography and his own alumni essay identify Hassin as founder/CEO.,https://engineering.rice.edu/people/bryan-hassin,Unknown,Direct TJ founder search,Founder personal essay,https://greenknig.ht/2025/10/06/from-tj-alumni-to-climatetech-ceo-my-journey-on-the-alumni-blast-from-the-past-podcast/,5,Unknown,Rice University
Ravi Shankar,Ravi,Shankar,1992,Confirmed,Archived TJHSST alumni material lists Shankar as Class of 1992.,https://levantado.ddns.net/ipfs/QmXoypizjW3WknFiJnKLwHCnL72vedxjQkDDP1mXWo6uco/wiki/Thomas_Jefferson_High_School_for_Science_and_Technology.html,Drunken Boat,https://drunkenboat.com/,Founder and executive director,2000,Dormant,Nonprofit,Literary journal,International online journal of the arts founded by Ravi Shankar.,Unknown,No,Unknown,Grants and donations,Unknown,None,Dormant / publication archived,Unknown,Unknown,Former founder,Unknown,Unknown,Unknown,The publication’s site and public biographies identify Shankar as founder.,https://drunkenboat.com/index.php,Unknown,Historical alumni archive,Archived TJHSST alumni list,https://drunkenboat.com/index.php,4,Unknown,Unknown
Anthony Myint,Anthony,Myint,1995,Strongly inferred,Public biographies identify Myint as a TJHSST alumnus; the 1995 year is reported in archived alumni materials.,https://en.wikipedia.org/wiki/Anthony_Myint,Mission Street Food,Unknown,Co-founder,2008,Closed,Other,Restaurant,Pop-up restaurant and charitable food project in San Francisco.,"San Francisco, CA",Bootstrapped,Unknown,Unknown,Unknown,None,Closed,Unknown,2009,Former founder,Unknown,Unknown,Unknown,Public biographies and restaurant histories identify Myint as co-founder.,https://en.wikipedia.org/wiki/Anthony_Myint,Unknown,Historical alumni archive,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,3,Unknown,Unknown
Anthony Myint,Anthony,Myint,1995,Strongly inferred,Public biographies identify Myint as a TJHSST alumnus; the 1995 year is reported in archived alumni materials.,https://en.wikipedia.org/wiki/Anthony_Myint,Mission Chinese Food,Unknown,Co-founder,2010,Closed,Other,Restaurant,Restaurant concept that grew from Mission Street Food.,"San Francisco, CA",Bootstrapped,Unknown,Unknown,Unknown,None,Closed,Unknown,2020,Former founder,Unknown,Unknown,Unknown,Public biographies and restaurant histories identify Myint as co-founder.,https://en.wikipedia.org/wiki/Anthony_Myint,Unknown,Historical alumni archive,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,3,Unknown,Unknown
Anthony Myint,Anthony,Myint,1995,Strongly inferred,Public biographies identify Myint as a TJHSST alumnus; the 1995 year is reported in archived alumni materials.,https://en.wikipedia.org/wiki/Anthony_Myint,Mission Burger,Unknown,Co-founder,2009,Closed,Other,Restaurant,Burger restaurant project co-founded by Anthony Myint.,"San Francisco, CA",Bootstrapped,Unknown,Unknown,Unknown,None,Closed,Unknown,Unknown,Former founder,Unknown,Unknown,Unknown,Public biographies and restaurant histories identify Myint as co-founder.,https://en.wikipedia.org/wiki/Anthony_Myint,Unknown,Historical alumni archive,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,3,Unknown,Unknown
Anthony Myint,Anthony,Myint,1995,Strongly inferred,Public biographies identify Myint as a TJHSST alumnus; the 1995 year is reported in archived alumni materials.,https://en.wikipedia.org/wiki/Anthony_Myint,Mission Cantina,Unknown,Co-founder,2013,Closed,Other,Restaurant,Restaurant concept co-founded by Anthony Myint.,"New York, NY",Bootstrapped,Unknown,Unknown,Unknown,None,Closed,Unknown,Unknown,Former founder,Unknown,Unknown,Unknown,Public biographies and restaurant histories identify Myint as co-founder.,https://en.wikipedia.org/wiki/Anthony_Myint,Unknown,Historical alumni archive,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,3,Unknown,Unknown
Anthony Myint,Anthony,Myint,1995,Strongly inferred,Public biographies identify Myint as a TJHSST alumnus; the 1995 year is reported in archived alumni materials.,https://en.wikipedia.org/wiki/Anthony_Myint,Commonwealth,Unknown,Co-founder,2010,Closed,Other,Restaurant,San Francisco restaurant co-founded by Anthony Myint.,"San Francisco, CA",Bootstrapped,Unknown,Unknown,Unknown,None,Closed,Unknown,Unknown,Former founder,Unknown,Unknown,Unknown,Public biographies and restaurant histories identify Myint as co-founder.,https://en.wikipedia.org/wiki/Anthony_Myint,Unknown,Historical alumni archive,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,3,Unknown,Unknown
Anthony Myint,Anthony,Myint,1995,Strongly inferred,Public biographies identify Myint as a TJHSST alumnus; the 1995 year is reported in archived alumni materials.,https://en.wikipedia.org/wiki/Anthony_Myint,The Perennial,Unknown,Co-founder,2016,Closed,Climate,Sustainable restaurant,Climate-conscious restaurant and food-system venture.,"San Francisco, CA",Bootstrapped,Unknown,Unknown,Unknown,None,Closed,Unknown,2019,Former founder,Unknown,Unknown,Unknown,Public biographies and restaurant histories identify Myint as co-founder.,https://en.wikipedia.org/wiki/Anthony_Myint,Unknown,Historical alumni archive,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,3,Unknown,Unknown
Bob Bland,Bob,Bland,,Unknown,Public biographies identify Bland as having attended TJHSST; no reliable graduation year was located.,https://en.wikipedia.org/wiki/Bob_Bland,Brooklyn Royalty,Unknown,Founder,2006,Dormant,Consumer,Fashion label,Independent fashion label founded by Bob Bland.,"Brooklyn, NY",Bootstrapped,Unknown,Unknown,Unknown,None,Dormant / status unclear,Unknown,Unknown,Former founder,Unknown,Unknown,Unknown,Public biographies identify Bland as founder.,https://en.wikipedia.org/wiki/Bob_Bland,Unknown,Historical alumni archive,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,3,Unknown,Savannah College of Art and Design
Bob Bland,Bob,Bland,,Unknown,Public biographies identify Bland as having attended TJHSST; no reliable graduation year was located.,https://en.wikipedia.org/wiki/Bob_Bland,Manufacture New York,Unknown,Founder and CEO,2012,Closed,Manufacturing,Fashion manufacturing,Fashion-incubator and manufacturing campus initiative.,"Brooklyn, NY",Yes,Unknown,Private / public support,Unknown,None,Closed,Unknown,Unknown,Former founder,Unknown,Unknown,Unknown,Public biographies identify Bland as founder/CEO.,https://en.wikipedia.org/wiki/Bob_Bland,Unknown,Historical alumni archive,TJHSST Founders Initiative,https://www.tjhsst.network/alumni,3,Unknown,Savannah College of Art and Design
Josh Jones,Josh,Jones,1994,Confirmed,Public regulatory filings list Jones at TJHSST from 1991–1994.,https://downloads.regulations.gov/DOT-OST-2020-0134-0001/attachment_5.pdf,DreamHost,https://www.dreamhost.com/,Co-founder,1997,Active,Enterprise Software,Web hosting,Employee-owned web-hosting and domain-services company.,"Brea, CA",Bootstrapped,Bootstrapped / undisclosed,Unknown,Unknown,None,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Public filings list Jones’s founder roles.,https://downloads.regulations.gov/DOT-OST-2020-0134-0001/attachment_5.pdf,https://wellfound.com/p/josh-jones,Historical-company search,Public regulatory filing,https://downloads.regulations.gov/DOT-OST-2020-0134-0001/attachment_5.pdf,5,Unknown,Harvey Mudd College
Josh Jones,Josh,Jones,1994,Confirmed,Public regulatory filings list Jones at TJHSST from 1991–1994.,https://downloads.regulations.gov/DOT-OST-2020-0134-0001/attachment_5.pdf,ePub Bud,Unknown,Founder,2009,Dormant,Education,Digital publishing,Children’s e-book publishing and distribution platform.,Unknown,Bootstrapped,Unknown,Unknown,Unknown,None,Dormant,Unknown,Unknown,Former founder,Unknown,Unknown,Unknown,Public filings list Jones’s founder roles.,https://downloads.regulations.gov/DOT-OST-2020-0134-0001/attachment_5.pdf,https://wellfound.com/p/josh-jones,Historical-company search,Public regulatory filing,https://downloads.regulations.gov/DOT-OST-2020-0134-0001/attachment_5.pdf,5,Unknown,Harvey Mudd College
Josh Jones,Josh,Jones,1994,Confirmed,Public regulatory filings list Jones at TJHSST from 1991–1994.,https://downloads.regulations.gov/DOT-OST-2020-0134-0001/attachment_5.pdf,HMC INQ,Unknown,Founder,2000,Dormant,Venture Capital,Angel investing,Angel-investment entity founded by Josh Jones.,"Los Angeles, CA",No,Unknown,Unknown,Unknown,None,Dormant / status unclear,Unknown,Unknown,Former founder,Unknown,Unknown,Unknown,Public filings list Jones’s founder roles.,https://downloads.regulations.gov/DOT-OST-2020-0134-0001/attachment_5.pdf,https://wellfound.com/p/josh-jones,Historical-company search,Public regulatory filing,https://downloads.regulations.gov/DOT-OST-2020-0134-0001/attachment_5.pdf,5,Unknown,Harvey Mudd College
Evan Burfield,Evan,Burfield,1995,Confirmed,Local coverage identifies Burfield as a 1995 TJ graduate.,https://www.fcnp.com/2007/11/28/community-news-and-notes/,netDecide,Unknown,Co-founder,1998,Acquired,Fintech,Wealth-management software,Financial-planning software company.,Virginia,Yes,Unknown,Venture financing,Unknown,None,Acquired,Informa,2003,Former founder,Unknown,Unknown,Unknown,Public biographies and Washington Post coverage identify Burfield’s founder roles.,https://www.uschamber.com/sites/default/files/final_health_care_summit_program.pdf,https://www.washingtonpost.com/business/capitalbusiness/at-hallway-high-school-students-try-to-help-schools-communicate/2012/09/14/47b849b2-fc1a-11e1-a31e-804fccb658f9_story.html,Historical-company search,Washington-area founder coverage,https://www.washingtonpost.com/business/capitalbusiness/start-up-hub-1776-aims-to-connect-dc-tech-entrepreneurs/2013/01/18/1c9ed8ac-60cd-11e2-b05a-605528f6b712_story.html,4,Unknown,University of Oxford
Evan Burfield,Evan,Burfield,1995,Confirmed,Local coverage identifies Burfield as a 1995 TJ graduate.,https://www.fcnp.com/2007/11/28/community-news-and-notes/,Synteractive,Unknown,Co-founder,2003,Acquired,Enterprise Software,Digital government consulting,Technology and consulting firm serving government and enterprise clients.,"Washington, DC",Unknown,Unknown,Unknown,Unknown,None,Acquired,Palladium,2015,Former founder,Unknown,Unknown,Unknown,Public biographies and Washington Post coverage identify Burfield’s founder roles.,https://www.uschamber.com/sites/default/files/final_health_care_summit_program.pdf,https://www.washingtonpost.com/business/capitalbusiness/at-hallway-high-school-students-try-to-help-schools-communicate/2012/09/14/47b849b2-fc1a-11e1-a31e-804fccb658f9_story.html,Historical-company search,Washington-area founder coverage,https://www.washingtonpost.com/business/capitalbusiness/start-up-hub-1776-aims-to-connect-dc-tech-entrepreneurs/2013/01/18/1c9ed8ac-60cd-11e2-b05a-605528f6b712_story.html,4,Unknown,University of Oxford
Evan Burfield,Evan,Burfield,1995,Confirmed,Local coverage identifies Burfield as a 1995 TJ graduate.,https://www.fcnp.com/2007/11/28/community-news-and-notes/,1776,Unknown,Co-founder,2013,Acquired,Venture Capital,Startup incubator,"Washington startup incubator, seed fund and global entrepreneurship network.","Washington, DC",Yes,Unknown,Private financing,Unknown,None,Merged / acquired,Benjamin’s Desk,2017,Former founder,Unknown,Unknown,Unknown,Public biographies and Washington Post coverage identify Burfield’s founder roles.,https://www.uschamber.com/sites/default/files/final_health_care_summit_program.pdf,https://www.washingtonpost.com/business/capitalbusiness/at-hallway-high-school-students-try-to-help-schools-communicate/2012/09/14/47b849b2-fc1a-11e1-a31e-804fccb658f9_story.html,Historical-company search,Washington-area founder coverage,https://www.washingtonpost.com/business/capitalbusiness/start-up-hub-1776-aims-to-connect-dc-tech-entrepreneurs/2013/01/18/1c9ed8ac-60cd-11e2-b05a-605528f6b712_story.html,4,Unknown,University of Oxford
Evan Burfield,Evan,Burfield,1995,Confirmed,Local coverage identifies Burfield as a 1995 TJ graduate.,https://www.fcnp.com/2007/11/28/community-news-and-notes/,Hallway,Unknown,Co-founder and chair,2012,Closed,Education,School communications,Student-built school communications and announcement platform.,"Alexandria, VA",Yes,Tens of thousands of dollars reported,Seed,Individual angel investors,Unknown,Closed,Unknown,Unknown,Former founder,Unknown,Unknown,Unknown,Public biographies and Washington Post coverage identify Burfield’s founder roles.,https://www.uschamber.com/sites/default/files/final_health_care_summit_program.pdf,https://www.washingtonpost.com/business/capitalbusiness/at-hallway-high-school-students-try-to-help-schools-communicate/2012/09/14/47b849b2-fc1a-11e1-a31e-804fccb658f9_story.html,Historical-company search,Washington-area founder coverage,https://www.washingtonpost.com/business/capitalbusiness/start-up-hub-1776-aims-to-connect-dc-tech-entrepreneurs/2013/01/18/1c9ed8ac-60cd-11e2-b05a-605528f6b712_story.html,4,Unknown,University of Oxford
Sean McElrath,Sean,McElrath,2013,Confirmed,The Washington Post identifies McElrath as a TJHSST Class of 2013 student founder.,https://www.washingtonpost.com/business/capitalbusiness/at-hallway-high-school-students-try-to-help-schools-communicate/2012/09/14/47b849b2-fc1a-11e1-a31e-804fccb658f9_story.html,Hallway,Unknown,Co-founder and CEO,2012,Closed,Education,School communications,Student-built school communications and announcement platform.,"Alexandria, VA",Yes,Tens of thousands of dollars reported,Seed,Individual angel investors,Unknown,Closed,Unknown,Unknown,Former founder,Unknown,Unknown,Unknown,Contemporaneous profiles identify McElrath as Hallway founder/CEO.,https://tech.co/news/sean-mcelrath-hallway-dc-2012-09,Unknown,Young-founder search,Washington Post student-founder profile,https://tech.co/news/sean-mcelrath-hallway-dc-2012-09,5,Unknown,Unknown
Matthew Mueller,Matthew,Mueller,,Unknown,Mueller’s professional profile and UVA alumni coverage identify TJHSST in his education history.,https://www.linkedin.com/in/matthewjamesmueller,Knot Standard,https://www.knotstandard.com/,Co-founder and president,2010,Active,E-commerce,Custom menswear,Technology-enabled custom menswear company.,"New York, NY",Yes,Unknown,Private financing,Unknown,Unknown,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,UVA founder profile identifies Mueller as co-founder.,https://archive.news.virginia.edu/content/alumnus-matthew-mueller-brings-tech-revolution-custom-menswear,Unknown,LinkedIn/biography cross-search,UVA founder profile,https://archive.news.virginia.edu/content/alumnus-matthew-mueller-brings-tech-revolution-custom-menswear,5,Unknown,University of Virginia
Jerry O. Talton,Jerry O.,Talton,2000,Confirmed,Talton’s public CV lists TJHSST and a 2000 graduation.,https://www.jerrytalton.net/files/jerry-talton-cv.pdf,Apropose,Unknown,Founder and CEO,2013,Closed,Artificial Intelligence,Interior-design visualization,Computer-vision software for interior design and visual search.,"Palo Alto, CA",Yes,Unknown,Seed,Unknown,Unknown,Closed,Unknown,2016,Former founder,Unknown,https://www.jerrytalton.net/,Unknown,Talton’s public CV identifies him as Apropose founder/CEO.,https://www.jerrytalton.net/files/jerry-talton-cv.pdf,Unknown,Personal-CV search,Founder CV,https://www.jerrytalton.net/files/jerry-talton-cv.pdf,5,Unknown,Stanford University
Philip Pan,Philip,Pan,2020,Strongly inferred,A public youth-entrepreneurship biography identifies Pan as a TJHSST graduate; year is inferred from his 2021 college status.,https://capanova.org/seminar-14-youth-entrepreneurship/,Autovision Technologies,Unknown,Co-founder,2020,Unknown,Artificial Intelligence,Computer vision,Student-founded computer-vision venture.,"Philadelphia, PA",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Former founder,Unknown,Unknown,Unknown,Public entrepreneurship biography identifies Pan as co-founder.,https://capanova.org/seminar-14-youth-entrepreneurship/,Unknown,Young-founder search,Youth entrepreneurship seminar,https://capanova.org/seminar-14-youth-entrepreneurship/,4,Unknown,University of Pennsylvania
Samvrit Rao,Samvrit,Rao,2025,Strongly inferred,STEMForU identifies Rao as a TJHSST graduate; the 2025 year follows the organization’s contemporaneous college-entry biography.,https://www.stemforu.org/about,STEMForU,https://www.stemforu.org/,Founder,2021,Active,Nonprofit,STEM education,Student-led organization expanding STEM opportunities.,"Fairfax, VA",No,Unknown,Donations,Unknown,None,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Organization biography identifies Rao as founder.,https://www.stemforu.org/about,Unknown,Young-founder search,Nonprofit team page,https://www.stemforu.org/about,4,Unknown,Columbia University
Ray Liu,Ray,Liu,2016,Strongly inferred,PeerKonnect’s public biography identifies Liu as a TJHSST student; 2016 is inferred from the dated high-school and Duke timeline.,https://peerkonnect.org/views/front/peerkonnect.php,PeerKonnect,https://peerkonnect.org/,Founder,2015,Dormant,Education,Peer tutoring,Peer-to-peer tutoring platform started by a TJHSST student.,"Fairfax, VA",No,Unknown,Unknown,Unknown,Unknown,Dormant,Unknown,Unknown,Former founder,Unknown,Unknown,Unknown,Organization biography identifies Liu as founder.,https://peerkonnect.org/views/front/peerkonnect.php,Unknown,Young-founder search,Founder organization biography,https://peerkonnect.org/views/front/peerkonnect.php,4,Unknown,Duke University
Tara Gupta,Tara,Gupta,2014,Confirmed,A public professional profile reports TJHSST Class of 2014; a university program independently identifies her TJ education.,https://theorg.com/org/map-collective/org-chart/tara-gupta,Map-Collective,https://map-collective.com/,Founder and CEO,2020,Active,Climate,Supply-chain sustainability,Data platform mapping supply chains and environmental impacts.,"Providence, RI",Yes,Unknown,Grants / private financing,National Science Foundation; others,Unknown,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,University program biography identifies Gupta as founder/CEO.,https://bpb-us-e2.wpmucdn.com/sites.utdallas.edu/dist/8/1090/files/2025/02/Sustainability-Certificate-Agenda-2.5.25-1.pdf,Unknown,University cross-search,University sustainability program,https://bpb-us-e2.wpmucdn.com/sites.utdallas.edu/dist/8/1090/files/2025/02/Sustainability-Certificate-Agenda-2.5.25-1.pdf,5,Unknown,Rhode Island School of Design; Brown University
Tara Gupta,Tara,Gupta,2014,Confirmed,A public professional profile reports TJHSST Class of 2014; a university program independently identifies her TJ education.,https://theorg.com/org/map-collective/org-chart/tara-gupta,Anamakos,Unknown,Founder,2018,Dormant,Consumer,Design studio,Design and technology venture founded by Tara Gupta.,Unknown,Bootstrapped,Unknown,Unknown,Unknown,None,Dormant / status unclear,Unknown,Unknown,Former founder,Unknown,Unknown,Unknown,Professional biography identifies Gupta as Anamakos founder.,https://theorg.com/org/map-collective/org-chart/tara-gupta,Unknown,University cross-search,University sustainability program,https://bpb-us-e2.wpmucdn.com/sites.utdallas.edu/dist/8/1090/files/2025/02/Sustainability-Certificate-Agenda-2.5.25-1.pdf,3,Unknown,Rhode Island School of Design; Brown University
Pooja Chandrashekar,Pooja,Chandrashekar,2015,Confirmed,Contemporaneous coverage identifies Chandrashekar as a TJHSST student and later Class of 2015 alumna.,https://washingtonexec.com/2014/12/stem-series-meet-tjhssts-pooja-chandrashekar-projectcsgirls-founder-ceo/,ProjectCSGIRLS,https://www.projectcsgirls.com/,Founder and CEO,2013,Active,Nonprofit,Computer-science education,National nonprofit encouraging middle-school girls in computer science and technology.,"Washington, DC",No,Unknown,Grants and donations,Unknown,None,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Official organization page and contemporaneous profile identify Chandrashekar as founder.,https://www.projectcsgirls.com/who-we-are,Unknown,TJ/FCPS student publication,WashingtonExec TJ STEM profile,https://washingtonexec.com/2014/12/stem-series-meet-tjhssts-pooja-chandrashekar-projectcsgirls-founder-ceo/,5,Unknown,Harvard University
Pooja Chandrashekar,Pooja,Chandrashekar,2015,Confirmed,Contemporaneous coverage identifies Chandrashekar as a TJHSST student and later Class of 2015 alumna.,https://washingtonexec.com/2014/12/stem-series-meet-tjhssts-pooja-chandrashekar-projectcsgirls-founder-ceo/,Action and Civic Tech Scholars,Unknown,Co-founder,2016,Dormant,Nonprofit,Civic technology education,Program co-founded to train young people in civic technology.,"Cambridge, MA",No,Unknown,Unknown,Unknown,None,Dormant / status unclear,Unknown,Unknown,Former founder,Unknown,Unknown,Unknown,Public biography identifies Chandrashekar as co-founder.,https://washingtonexec.com/events/2016-k-12-stem-symposium-keynote-panel-highlight,Unknown,TJ/FCPS student publication,WashingtonExec TJ STEM profile,https://washingtonexec.com/2014/12/stem-series-meet-tjhssts-pooja-chandrashekar-projectcsgirls-founder-ceo/,3,Unknown,Harvard University
Satvika Kumar,Satvika,Kumar,,Unknown,Contemporaneous coverage identifies Kumar as a TJHSST student founder; no reliable graduation year was located.,https://washingtonexec.com/2014/12/meet-tjhssts-satvika-kumar-learning-pathways-project-inc-founder-principal/,Learning Pathways Project,Unknown,Founder and principal,2014,Dormant,Nonprofit,Education,Student-founded education nonprofit focused on learning pathways.,"Fairfax, VA",No,Unknown,Unknown,Unknown,None,Dormant / status unclear,Unknown,Unknown,Former founder,Unknown,Unknown,Unknown,Contemporaneous profile identifies Kumar as founder/principal.,https://washingtonexec.com/2014/12/meet-tjhssts-satvika-kumar-learning-pathways-project-inc-founder-principal/,Unknown,TJ/FCPS student publication,WashingtonExec TJ STEM profile,https://washingtonexec.com/2014/12/meet-tjhssts-satvika-kumar-learning-pathways-project-inc-founder-principal/,4,Unknown,Unknown
Damilola Awofisayo,Damilola,Awofisayo,2022,Confirmed,Princeton’s alumni profile identifies Awofisayo as a 2022 senior at TJHSST.,https://pprize.princeton.edu/people/damilola-awofisayo,TecHacks,https://techacks.co/,Founder,2020,Active,Nonprofit,Hackathon,Global hackathon and technology community created for underrepresented students.,"Fairfax, VA",No,Unknown,Sponsorships,Unknown,None,None known,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Princeton profile identifies Awofisayo as TecHacks founder.,https://pprize.princeton.edu/people/damilola-awofisayo,Unknown,University cross-search,Princeton alumni profile,https://pprize.princeton.edu/people/damilola-awofisayo,5,Unknown,Princeton University
